step,tag,value
45,node_t001-nxcore_finished_workloads,74.0
46,node_t001-nxcore_finished_workloads,76.0
47,node_t001-nxcore_finished_workloads,77.0
48,node_t001-nxcore_finished_workloads,79.0
49,node_t001-nxcore_finished_workloads,80.0
0,node_t001-nxcore_running_workloads,0.0
1,node_t001-nxcore_running_workloads,0.0
2,node_t001-nxcore_running_workloads,0.0
3,node_t001-nxcore_running_workloads,0.0
4,node_t001-nxcore_running_workloads,0.0
5,node_t001-nxcore_running_workloads,0.0
6,node_t001-nxcore_running_workloads,0.0
7,node_t001-nxcore_running_workloads,0.0
8,node_t001-nxcore_running_workloads,0.0
9,node_t001-nxcore_running_workloads,0.0
10,node_t001-nxcore_running_workloads,0.0
11,node_t001-nxcore_running_workloads,0.0
12,node_t001-nxcore_running_workloads,0.0
13,node_t001-nxcore_running_workloads,0.0
14,node_t001-nxcore_running_workloads,0.0
15,node_t001-nxcore_running_workloads,0.0
16,node_t001-nxcore_running_workloads,0.0
17,node_t001-nxcore_running_workloads,0.0
18,node_t001-nxcore_running_workloads,0.0
19,node_t001-nxcore_running_workloads,0.0
20,node_t001-nxcore_running_workloads,0.0
21,node_t001-nxcore_running_workloads,0.0
22,node_t001-nxcore_running_workloads,0.0
23,node_t001-nxcore_running_workloads,0.0
24,node_t001-nxcore_running_workloads,0.0
25,node_t001-nxcore_running_workloads,0.0
26,node_t001-nxcore_running_workloads,0.0
27,node_t001-nxcore_running_workloads,0.0
28,node_t001-nxcore_running_workloads,0.0
29,node_t001-nxcore_running_workloads,0.0
30,node_t001-nxcore_running_workloads,0.0
31,node_t001-nxcore_running_workloads,0.0
32,node_t001-nxcore_running_workloads,0.0
33,node_t001-nxcore_running_workloads,0.0
34,node_t001-nxcore_running_workloads,0.0
35,node_t001-nxcore_running_workloads,0.0
36,node_t001-nxcore_running_workloads,0.0
37,node_t001-nxcore_running_workloads,0.0
38,node_t001-nxcore_running_workloads,0.0
39,node_t001-nxcore_running_workloads,0.0
40,node_t001-nxcore_running_workloads,0.0
41,node_t001-nxcore_running_workloads,0.0
42,node_t001-nxcore_running_workloads,0.0
43,node_t001-nxcore_running_workloads,0.0
44,node_t001-nxcore_running_workloads,0.0
45,node_t001-nxcore_running_workloads,0.0
46,node_t001-nxcore_running_workloads,0.0
47,node_t001-nxcore_running_workloads,0.0
48,node_t001-nxcore_running_workloads,0.0
49,node_t001-nxcore_running_workloads,0.0
0,node_t002-nxcore_energy,0.7663599848747253
1,node_t002-nxcore_energy,0.5581099987030029
2,node_t002-nxcore_energy,0.8330000042915344
3,node_t002-nxcore_energy,0.5581099987030029
4,node_t002-nxcore_energy,0.8330000042915344
5,node_t002-nxcore_energy,0.5581099987030029
6,node_t002-nxcore_energy,0.8330000042915344
7,node_t002-nxcore_energy,0.5581099987030029
8,node_t002-nxcore_energy,0.8330000042915344
9,node_t002-nxcore_energy,0.5581099987030029
10,node_t002-nxcore_energy,0.7663599848747253
11,node_t002-nxcore_energy,0.5581099987030029
12,node_t002-nxcore_energy,0.8330000042915344
13,node_t002-nxcore_energy,0.5581099987030029
14,node_t002-nxcore_energy,0.8330000042915344
15,node_t002-nxcore_energy,0.5581099987030029
16,node_t002-nxcore_energy,0.8330000042915344
17,node_t002-nxcore_energy,0.5581099987030029
18,node_t002-nxcore_energy,0.8330000042915344
19,node_t002-nxcore_energy,0.5581099987030029
20,node_t002-nxcore_energy,0.7663599848747253
21,node_t002-nxcore_energy,0.5581099987030029
22,node_t002-nxcore_energy,0.8330000042915344
23,node_t002-nxcore_energy,0.5581099987030029
24,node_t002-nxcore_energy,0.8330000042915344
25,node_t002-nxcore_energy,0.5581099987030029
26,node_t002-nxcore_energy,0.8330000042915344
27,node_t002-nxcore_energy,0.5581099987030029
28,node_t002-nxcore_energy,0.8330000042915344
29,node_t002-nxcore_energy,0.5581099987030029
30,node_t002-nxcore_energy,0.7663599848747253
31,node_t002-nxcore_energy,0.5581099987030029
32,node_t002-nxcore_energy,0.8330000042915344
33,node_t002-nxcore_energy,0.5581099987030029
34,node_t002-nxcore_energy,0.8330000042915344
35,node_t002-nxcore_energy,0.5581099987030029
36,node_t002-nxcore_energy,0.8330000042915344
37,node_t002-nxcore_energy,0.5581099987030029
38,node_t002-nxcore_energy,0.8330000042915344
39,node_t002-nxcore_energy,0.5581099987030029
40,node_t002-nxcore_energy,0.7663599848747253
41,node_t002-nxcore_energy,0.5581099987030029
42,node_t002-nxcore_energy,0.8330000042915344
43,node_t002-nxcore_energy,0.5581099987030029
44,node_t002-nxcore_energy,0.8330000042915344
45,node_t002-nxcore_energy,0.5581099987030029
46,node_t002-nxcore_energy,0.8330000042915344
47,node_t002-nxcore_energy,0.5581099987030029
48,node_t002-nxcore_energy,0.8330000042915344
49,node_t002-nxcore_energy,0.5581099987030029
0,node_t002-nxcore_cpu,2500.0
1,node_t002-nxcore_cpu,1000.0
2,node_t002-nxcore_cpu,3000.0
3,node_t002-nxcore_cpu,1000.0
4,node_t002-nxcore_cpu,3000.0
5,node_t002-nxcore_cpu,1000.0
6,node_t002-nxcore_cpu,3000.0
7,node_t002-nxcore_cpu,1000.0
8,node_t002-nxcore_cpu,3000.0
9,node_t002-nxcore_cpu,1000.0
10,node_t002-nxcore_cpu,2500.0
11,node_t002-nxcore_cpu,1000.0
12,node_t002-nxcore_cpu,3000.0
13,node_t002-nxcore_cpu,1000.0
14,node_t002-nxcore_cpu,3000.0
15,node_t002-nxcore_cpu,1000.0
16,node_t002-nxcore_cpu,3000.0
17,node_t002-nxcore_cpu,1000.0
18,node_t002-nxcore_cpu,3000.0
19,node_t002-nxcore_cpu,1000.0
20,node_t002-nxcore_cpu,2500.0
21,node_t002-nxcore_cpu,1000.0
22,node_t002-nxcore_cpu,3000.0
23,node_t002-nxcore_cpu,1000.0
24,node_t002-nxcore_cpu,3000.0
25,node_t002-nxcore_cpu,1000.0
26,node_t002-nxcore_cpu,3000.0
27,node_t002-nxcore_cpu,1000.0
28,node_t002-nxcore_cpu,3000.0
29,node_t002-nxcore_cpu,1000.0
30,node_t002-nxcore_cpu,2500.0
31,node_t002-nxcore_cpu,1000.0
32,node_t002-nxcore_cpu,3000.0
33,node_t002-nxcore_cpu,1000.0
34,node_t002-nxcore_cpu,3000.0
35,node_t002-nxcore_cpu,1000.0
36,node_t002-nxcore_cpu,3000.0
37,node_t002-nxcore_cpu,1000.0
38,node_t002-nxcore_cpu,3000.0
39,node_t002-nxcore_cpu,1000.0
40,node_t002-nxcore_cpu,2500.0
41,node_t002-nxcore_cpu,1000.0
42,node_t002-nxcore_cpu,3000.0
43,node_t002-nxcore_cpu,1000.0
44,node_t002-nxcore_cpu,3000.0
45,node_t002-nxcore_cpu,1000.0
46,node_t002-nxcore_cpu,3000.0
47,node_t002-nxcore_cpu,1000.0
48,node_t002-nxcore_cpu,3000.0
49,node_t002-nxcore_cpu,1000.0
0,node_t002-nxcore_memory,3695181824.0
1,node_t002-nxcore_memory,1073741824.0
2,node_t002-nxcore_memory,3430940672.0
3,node_t002-nxcore_memory,1073741824.0
