step,tag,value
3,node_t001-nxcore_power_moving_average,8.866666793823242
4,node_t001-nxcore_power_moving_average,10.800000190734863
5,node_t001-nxcore_power_moving_average,8.866666793823242
6,node_t001-nxcore_power_moving_average,10.800000190734863
7,node_t001-nxcore_power_moving_average,8.866666793823242
8,node_t001-nxcore_power_moving_average,10.800000190734863
9,node_t001-nxcore_power_moving_average,8.866666793823242
10,node_t001-nxcore_power_moving_average,11.0
11,node_t001-nxcore_power_moving_average,9.0
12,node_t001-nxcore_power_moving_average,10.800000190734863
13,node_t001-nxcore_power_moving_average,8.866666793823242
14,node_t001-nxcore_power_moving_average,10.800000190734863
15,node_t001-nxcore_power_moving_average,8.866666793823242
16,node_t001-nxcore_power_moving_average,10.800000190734863
17,node_t001-nxcore_power_moving_average,8.866666793823242
18,node_t001-nxcore_power_moving_average,10.800000190734863
19,node_t001-nxcore_power_moving_average,8.866666793823242
20,node_t001-nxcore_power_moving_average,11.0
21,node_t001-nxcore_power_moving_average,9.0
22,node_t001-nxcore_power_moving_average,10.800000190734863
23,node_t001-nxcore_power_moving_average,8.866666793823242
24,node_t001-nxcore_power_moving_average,10.800000190734863
25,node_t001-nxcore_power_moving_average,8.866666793823242
26,node_t001-nxcore_power_moving_average,10.800000190734863
27,node_t001-nxcore_power_moving_average,8.866666793823242
28,node_t001-nxcore_power_moving_average,10.800000190734863
29,node_t001-nxcore_power_moving_average,8.866666793823242
30,node_t001-nxcore_power_moving_average,11.0
31,node_t001-nxcore_power_moving_average,9.0
32,node_t001-nxcore_power_moving_average,10.800000190734863
33,node_t001-nxcore_power_moving_average,8.866666793823242
34,node_t001-nxcore_power_moving_average,10.800000190734863
35,node_t001-nxcore_power_moving_average,8.866666793823242
36,node_t001-nxcore_power_moving_average,10.800000190734863
37,node_t001-nxcore_power_moving_average,8.866666793823242
38,node_t001-nxcore_power_moving_average,10.800000190734863
39,node_t001-nxcore_power_moving_average,8.866666793823242
40,node_t001-nxcore_power_moving_average,11.0
41,node_t001-nxcore_power_moving_average,9.0
42,node_t001-nxcore_power_moving_average,10.800000190734863
43,node_t001-nxcore_power_moving_average,8.866666793823242
44,node_t001-nxcore_power_moving_average,10.800000190734863
45,node_t001-nxcore_power_moving_average,8.866666793823242
46,node_t001-nxcore_power_moving_average,10.800000190734863
47,node_t001-nxcore_power_moving_average,8.866666793823242
48,node_t001-nxcore_power_moving_average,10.800000190734863
49,node_t001-nxcore_power_moving_average,8.866666793823242
0,node_t001-nxcore_finished_workloads,5.0
1,node_t001-nxcore_finished_workloads,5.0
2,node_t001-nxcore_finished_workloads,7.0
3,node_t001-nxcore_finished_workloads,7.0
4,node_t001-nxcore_finished_workloads,9.0
5,node_t001-nxcore_finished_workloads,9.0
6,node_t001-nxcore_finished_workloads,11.0
7,node_t001-nxcore_finished_workloads,11.0
8,node_t001-nxcore_finished_workloads,13.0
9,node_t001-nxcore_finished_workloads,13.0
10,node_t001-nxcore_finished_workloads,16.0
11,node_t001-nxcore_finished_workloads,16.0
12,node_t001-nxcore_finished_workloads,18.0
13,node_t001-nxcore_finished_workloads,18.0
14,node_t001-nxcore_finished_workloads,20.0
15,node_t001-nxcore_finished_workloads,20.0
16,node_t001-nxcore_finished_workloads,22.0
17,node_t001-nxcore_finished_workloads,22.0
18,node_t001-nxcore_finished_workloads,24.0
19,node_t001-nxcore_finished_workloads,24.0
20,node_t001-nxcore_finished_workloads,27.0
21,node_t001-nxcore_finished_workloads,27.0
22,node_t001-nxcore_finished_workloads,29.0
23,node_t001-nxcore_finished_workloads,29.0
24,node_t001-nxcore_finished_workloads,31.0
25,node_t001-nxcore_finished_workloads,31.0
26,node_t001-nxcore_finished_workloads,33.0
27,node_t001-nxcore_finished_workloads,33.0
28,node_t001-nxcore_finished_workloads,35.0
29,node_t001-nxcore_finished_workloads,35.0
30,node_t001-nxcore_finished_workloads,38.0
31,node_t001-nxcore_finished_workloads,38.0
32,node_t001-nxcore_finished_workloads,40.0
33,node_t001-nxcore_finished_workloads,40.0
34,node_t001-nxcore_finished_workloads,42.0
35,node_t001-nxcore_finished_workloads,42.0
36,node_t001-nxcore_finished_workloads,44.0
37,node_t001-nxcore_finished_workloads,44.0
38,node_t001-nxcore_finished_workloads,46.0
39,node_t001-nxcore_finished_workloads,46.0
40,node_t001-nxcore_finished_workloads,49.0
41,node_t001-nxcore_finished_workloads,49.0
42,node_t001-nxcore_finished_workloads,51.0
43,node_t001-nxcore_finished_workloads,51.0
44,node_t001-nxcore_finished_workloads,53.0
45,node_t001-nxcore_finished_workloads,53.0
46,node_t001-nxcore_finished_workloads,55.0
47,node_t001-nxcore_finished_workloads,55.0
48,node_t001-nxcore_finished_workloads,57.0
49,node_t001-nxcore_finished_workloads,57.0
0,node_t001-nxcore_running_workloads,0.0
1,node_t001-nxcore_running_workloads,0.0
2,node_t001-nxcore_running_workloads,0.0
3,node_t001-nxcore_running_workloads,0.0
4,node_t001-nxcore_running_workloads,0.0
5,node_t001-nxcore_running_workloads,0.0
6,node_t001-nxcore_running_workloads,0.0
7,node_t001-nxcore_running_workloads,0.0
8,node_t001-nxcore_running_workloads,0.0
9,node_t001-nxcore_running_workloads,0.0
10,node_t001-nxcore_running_workloads,0.0
11,node_t001-nxcore_running_workloads,0.0
12,node_t001-nxcore_running_workloads,0.0
13,node_t001-nxcore_running_workloads,0.0
14,node_t001-nxcore_running_workloads,0.0
15,node_t001-nxcore_running_workloads,0.0
16,node_t001-nxcore_running_workloads,0.0
17,node_t001-nxcore_running_workloads,0.0
18,node_t001-nxcore_running_workloads,0.0
19,node_t001-nxcore_running_workloads,0.0
20,node_t001-nxcore_running_workloads,0.0
21,node_t001-nxcore_running_workloads,0.0
22,node_t001-nxcore_running_workloads,0.0
23,node_t001-nxcore_running_workloads,0.0
24,node_t001-nxcore_running_workloads,0.0
25,node_t001-nxcore_running_workloads,0.0
26,node_t001-nxcore_running_workloads,0.0
27,node_t001-nxcore_running_workloads,0.0
28,node_t001-nxcore_running_workloads,0.0
29,node_t001-nxcore_running_workloads,0.0
30,node_t001-nxcore_running_workloads,0.0
31,node_t001-nxcore_running_workloads,0.0
32,node_t001-nxcore_running_workloads,0.0
33,node_t001-nxcore_running_workloads,0.0
34,node_t001-nxcore_running_workloads,0.0
35,node_t001-nxcore_running_workloads,0.0
36,node_t001-nxcore_running_workloads,0.0
37,node_t001-nxcore_running_workloads,0.0
38,node_t001-nxcore_running_workloads,0.0
39,node_t001-nxcore_running_workloads,0.0
40,node_t001-nxcore_running_workloads,0.0
41,node_t001-nxcore_running_workloads,0.0
42,node_t001-nxcore_running_workloads,0.0
43,node_t001-nxcore_running_workloads,0.0
44,node_t001-nxcore_running_workloads,0.0
45,node_t001-nxcore_running_workloads,0.0
46,node_t001-nxcore_running_workloads,0.0
47,node_t001-nxcore_running_workloads,0.0
48,node_t001-nxcore_running_workloads,0.0
49,node_t001-nxcore_running_workloads,0.0
0,node_t002-nxcore_energy,0.4165000021457672
1,node_t002-nxcore_energy,0.8330000042915344
2,node_t002-nxcore_energy,0.6913899779319763
3,node_t002-nxcore_energy,0.8330000042915344
4,node_t002-nxcore_energy,0.6913899779319763
5,node_t002-nxcore_energy,0.8330000042915344
6,node_t002-nxcore_energy,0.6913899779319763
7,node_t002-nxcore_energy,0.8330000042915344
8,node_t002-nxcore_energy,0.6913899779319763
9,node_t002-nxcore_energy,0.8330000042915344
10,node_t002-nxcore_energy,0.6913899779319763
11,node_t002-nxcore_energy,0.8330000042915344
12,node_t002-nxcore_energy,0.6913899779319763
13,node_t002-nxcore_energy,0.8330000042915344
14,node_t002-nxcore_energy,0.6913899779319763
15,node_t002-nxcore_energy,0.8330000042915344
16,node_t002-nxcore_energy,0.6913899779319763
17,node_t002-nxcore_energy,0.8330000042915344
18,node_t002-nxcore_energy,0.6913899779319763
19,node_t002-nxcore_energy,0.8330000042915344
20,node_t002-nxcore_energy,0.6913899779319763
21,node_t002-nxcore_energy,0.8330000042915344
22,node_t002-nxcore_energy,0.6913899779319763
23,node_t002-nxcore_energy,0.8330000042915344
24,node_t002-nxcore_energy,0.6913899779319763
25,node_t002-nxcore_energy,0.8330000042915344
26,node_t002-nxcore_energy,0.6913899779319763
27,node_t002-nxcore_energy,0.8330000042915344
28,node_t002-nxcore_energy,0.6913899779319763
29,node_t002-nxcore_energy,0.8330000042915344
30,node_t002-nxcore_energy,0.6913899779319763
31,node_t002-nxcore_energy,0.8330000042915344
32,node_t002-nxcore_energy,0.6913899779319763
33,node_t002-nxcore_energy,0.8330000042915344
34,node_t002-nxcore_energy,0.6913899779319763
35,node_t002-nxcore_energy,0.8330000042915344
36,node_t002-nxcore_energy,0.6913899779319763
37,node_t002-nxcore_energy,0.8330000042915344
38,node_t002-nxcore_energy,0.6913899779319763
39,node_t002-nxcore_energy,0.8330000042915344
40,node_t002-nxcore_energy,0.6913899779319763
41,node_t002-nxcore_energy,0.8330000042915344
42,node_t002-nxcore_energy,0.6913899779319763
43,node_t002-nxcore_energy,0.8330000042915344
44,node_t002-nxcore_energy,0.6913899779319763
45,node_t002-nxcore_energy,0.8330000042915344
46,node_t002-nxcore_energy,0.6913899779319763
47,node_t002-nxcore_energy,0.8330000042915344
48,node_t002-nxcore_energy,0.6913899779319763
49,node_t002-nxcore_energy,0.8330000042915344
0,node_t002-nxcore_cpu,0.0
1,node_t002-nxcore_cpu,3000.0
2,node_t002-nxcore_cpu,2000.0
3,node_t002-nxcore_cpu,3000.0
4,node_t002-nxcore_cpu,2000.0
